permno,fdate,pred_price,true_price,abs_err
10107,2010-01-01,29.287500381469705,29.2875003815,3.029398953913187e-11
10107,2010-04-01,23.010000228881825,23.0100002289,1.8175683180743363e-11
10107,2010-07-01,24.48999977111823,24.4899997711,1.823252659960417e-11
10107,2010-10-01,27.90999984741189,27.9099998474,1.1887379969266476e-11
10107,2011-01-01,25.389999389648043,25.3899993896,4.8043347078419174e-11
10107,2011-04-01,26.000000000000004,26.0,3.552713678800501e-15
10107,2011-07-01,24.88999938964839,24.8899993896,4.839151301894162e-11
10107,2011-10-01,25.95999908447265,25.9599990845,2.7352342613085057e-11
10107,2012-01-01,32.25500106811509,32.2550010681,1.5091927707544528e-11
10107,2012-04-01,30.59000015258781,30.5900001526,1.2189360631964519e-11
10107,2012-07-01,29.76000022888157,29.7600002289,1.8431478565617e-11
10107,2012-10-01,26.70969963073696,26.7096996307,3.695888040056161e-11
10107,2013-01-01,28.604999542236392,28.6049995422,3.639044621195353e-11
10107,2013-04-01,34.54499816894537,34.5449981689,4.53681536782824e-11
10107,2013-07-01,33.27999877929708,33.2799987793,2.9203306439740118e-12
10107,2013-10-01,37.40999984741201,37.4099998474,1.2008172234345693e-11
10107,2014-01-01,40.990001678467095,40.9900016785,3.290523409305024e-11
10107,2014-04-01,41.700000762939695,41.7000007629,3.96980226469168e-11
10107,2014-07-01,46.360000610351456,46.3600006104,4.8544279707130045e-11
10107,2014-10-01,46.45000076293944,46.4500007629,3.944222726204316e-11
10107,2015-01-01,40.65499877929691,40.6549987793,3.090860900556436e-12
10107,2015-04-01,44.1500015258785,44.1500015259,2.1501023184100632e-11
10107,2015-07-01,44.25999832153332,44.2599983215,3.33173488797911e-11
10107,2015-10-01,55.479999542236406,55.4799995422,3.6408209780347534e-11
10107,2016-01-01,55.22999954223633,55.2299995422,3.633005007941392e-11
10107,2016-04-01,51.169998168945355,51.1699981689,4.5353942823567195e-11
10107,2016-07-01,57.599998474121065,57.5999984741,2.106759211528697e-11
10107,2016-10-01,62.13999938964814,62.1399993896,4.813927034774679e-11
10107,2017-01-01,65.8600006103513,65.8600006104,4.8686388254282065e-11
10107,2017-04-01,68.9300003051758,68.9300003052,2.4201085579989012e-11
10107,2017-07-01,74.4899978637698,74.4899978638,3.019806626980426e-11
10107,2017-10-01,85.54000091552761,85.5400009155,2.7611690711637493e-11
10107,2018-01-01,91.26999664306628,91.2699966431,3.3722358239174355e-11
10107,2018-04-01,98.61000061035158,98.6100006104,4.8416382014693227e-11
10107,2018-07-01,114.37000274658232,114.3700027466,1.7678303265711293e-11
10107,2018-10-01,101.56999969482392,101.5699996948,2.3916868485684972e-11
10107,2019-01-01,117.94000244140621,117.9400024414,6.210143510543276e-12
10107,2019-04-01,133.96000671386767,133.9600067139,3.2315483622369356e-11
10107,2019-07-01,139.02999877929702,139.0299987793,2.9842794901924208e-12
10107,2019-10-01,157.699996948242,157.6999969482,4.197886482870672e-11
